id,is_rental,is_commercial,rent,price,num_bedrooms,area,x,y,num_rooms,num_bathrooms,pets,ownership_id,is_new_development,common_charges,is_furnished,financing_allowed,commission
904752,1,0,2650.0,,1.0,800.0,-73.95391469999998,40.7735559,3.0,1.0,1.0,5.0,0,,0,100.0,
68785,1,0,2950.0,,1.0,,-73.98850500000003,40.765693,3.0,1.0,1.0,5.0,0,,0,100.0,
62334,0,0,,560000.0,0.0,534.0,-74.00600070000002,40.7083083,2.0,1.0,1.0,15.0,0,346.0,0,80.0,
753114,0,0,,2900000.0,2.0,1490.0,-73.99932760000002,40.74094119999999,,2.5,1.0,15.0,0,916.0,0,90.0,
846822,0,0,,5400000.0,3.5,3250.0,-73.96585299999998,40.76321120000001,7.0,4.5,1.0,3.0,0,,0,80.0,
512158,1,0,7950.0,,1.0,1129.0,-74.0051727294922,40.7447509765625,3.0,2.0,1.0,15.0,0,,0,100.0,
903521,1,0,3500.0,,1.0,,-73.987641,40.779534000000005,3.0,1.0,1.0,15.0,0,,0,100.0,
798356,1,1,50000.0,,,3600.0,-73.97278449999997,40.752711100000006,,,5.0,10.0,0,,0,100.0,
800108,1,0,3950.0,,1.0,,-74.0026016235352,40.751148223877,,1.0,1.0,5.0,0,,0,100.0,
846856,1,0,20000.0,,3.5,3250.0,-73.96585299999998,40.76321120000001,,4.5,6.0,14.0,0,,0,100.0,
